Isolate_Id	Isolate_Name	Subtype	Host	Location	Collection_Date	Domestic_Status
EPI_ISL_623074	A/chicken/Iraq/1/2020	A / H5N8	Chicken	Asia / Iraq / Muhafazat Ninawa	2020-05-12	Domestic
EPI_ISL_637098	A/duck/Chelyabinsk/1207-1/2020	A / H5N8	Duck	Europe / Russian Federation / Chelyabinsk Oblast	2020-07-31	Domestic
EPI_ISL_644122	A/goose/Omsk/0002/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk region	2020-08-13	Domestic
EPI_ISL_644124	A/duck/Omsk/0004/2020	A / H5N8	Anas platyrhynchos f. domestica	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-13	Domestic
EPI_ISL_644123	A/turkey/Omsk/0003/2020	A / H5N8	Meleagris gallopavo	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-13	Domestic
EPI_ISL_626650	A/duck/Russian_Federation/Omsk/1328-2/2020	A / H5N8	Duck	Europe / Russian Federation / Omsk Oblast	2020-08-17	
EPI_ISL_644138	A/wild duck/Omsk/01111/2020	A / H5N8	Anas sp.	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Wild
EPI_ISL_644134	A/chicken/Omsk/0118/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_644140	A/chicken/Omsk/0073/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_644130	A/goose/Omsk/01161/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_644142	A/duck/Omsk/0075/2020	A / H5N8	Anas platyrhynchos f. domestica	Europe / Russian Federation / Omsk Oblast / Omsk	2020-08-17	Domestic
EPI_ISL_654839	A/goose/Kurgan/01/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Kurgan region	2020-08-27	
EPI_ISL_739685	A/goose/Russia_Omsk region/55-1/2020	A / H5N8	Goose	Europe / Russian Federation / Omsk region	2020-08-29	
EPI_ISL_654830	A/chicken/Omsk/30007/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-09-03	Domestic
EPI_ISL_654831	A/goose/Omsk/30009/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-09-03	Domestic
EPI_ISL_654829	A/goose/Omsk/30006/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-09-03	Domestic
EPI_ISL_654826	A/goose/Omsk/30001/2020	A / H5N8	Anser anser domesticus	Europe / Russian Federation / Omsk Oblast / Omsk	2020-09-03	Domestic
EPI_ISL_661178	A/swan/Tumen/1479-2/2020	A / H5N8	Swan	Europe / Russian Federation / Tyumen Oblast	2020-09-10	Wild
EPI_ISL_739684	A/goose/Russia_Novosibirsk region/1-12/2020	A / H5N8	Goose	Europe / Russian Federation / Novosibirsk region	2020-09-15	
EPI_ISL_654821	A/chicken/Saratov/29801/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Saratov Oblast / Saratov	2020-09-15	Domestic
EPI_ISL_626649	A/duck/Russian_Federation/Saratov/1578-2/2020 	A / H5N8	Duck	Europe / Russian Federation / Saratov Oblast	2020-09-18	
EPI_ISL_739686	A/chicken/Kazakhstan/Kn-3/2020	A / H5N8	Chicken	Asia / Kazakhstan / North Kazakhstan	2020-09-18	
EPI_ISL_615073	A/domestic_goose/Kazakhstan/1-242_2-20-B/2020	A / H5N8	Goose	Asia / Kazakhstan / North Kazakhstan	2020-09-19	Domestic
EPI_ISL_739690	A/chicken/Russia_Novosibirsk region/3-1/2020	A / H5N8	Chicken	Europe / Russian Federation / Novosibirsk region	2020-09-20	
EPI_ISL_739688	A/chicken/Russia_Novosibirsk region/1910-1/2020	A / H5N8	Chicken	Europe / Russian Federation / Novosibirsk region	2020-09-22	
EPI_ISL_739689	A/chicken/Russia_Novosibirsk region/1910-2/2020	A / H5N8	Chicken	Europe / Russian Federation / Novosibirsk region	2020-09-22	
EPI_ISL_614401	A/mute_swan/Kazakhstan/1-267-20-B/2020	A / H5N8	Swan	Asia / Kazakhstan / Akmola	2020-09-23	Wild
EPI_ISL_615072	A/domestic_duck/Kazakhstan/1-274-20-B/2020	A / H5N8	Duck	Asia / Kazakhstan / Kostanay	2020-09-25	Domestic
EPI_ISL_1114735	A/chicken/Tyumen/302-01/2020	A / H5N8	Gallus gallus domesticus	Europe / Russian Federation / Tyumen Oblast / Tyumen	2020-09-26	
EPI_ISL_625672	A/mute swan/Inner Mongolia/w2-1/2020	A / H5N8	Cygnus olor	Asia / China / Inner Mongolia Autonomous Region	2020-10-17	Wild
